### columns from Head ###
     Cluster     Annotation     gene     p_val     avg_diff     pct.1     pct.2

### data from body ###

     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Carhsp1     5.5192e-36     0.7931     0.267     0.079
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Syt11     5.3805e-68     0.793     0.628     0.328
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Rtn4     1.5566e-50     0.791     0.515     0.255
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pla2g16     2.9948e-34     0.7889     0.287     0.098
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Atp1b3     6.421e-49     0.7886     0.502     0.253
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Taldo1     8.3699e-54     0.7885     0.516     0.241
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cystm1     2.889e-31     0.7881     0.274     0.1
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Nfasc     1.5504e-32     0.7877     0.283     0.1
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Dixdc1     7.1857e-29     0.7869     0.164     0.033
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sypl     1.3021e-37     0.7867     0.366     0.157
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Arpc1a     1.1187e-38     0.7853     0.388     0.17
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ddr1     7.1554e-28     0.7844     0.195     0.056
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mcam     5.1175e-26     0.7824     0.163     0.041
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Arsg     1.6641e-31     0.7801     0.243     0.073
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Bin1     1.119e-58     0.7795     0.597     0.327
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Degs1     1.2573e-54     0.7738     0.55     0.286
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Secisbp2l     1.5256e-27     0.7672     0.19     0.05
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cdc42ep2     3.9352e-34     0.7666     0.18     0.033
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tyro3     3.0322e-28     0.7658     0.17     0.037
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Rhou     1.889e-29     0.7602     0.193     0.048
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     1700047M11Rik     2.5972e-28     0.7599     0.26     0.095
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Litaf     1.6567e-39     0.7585     0.4     0.17
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Elovl7     3.3929e-32     0.7561     0.224     0.061
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slc38a2     3.6788e-40     0.7558     0.439     0.207
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gm12374     4.7126e-22     0.7525     0.182     0.059
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Kctd3     1.419e-29     0.7521     0.178     0.038
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pigz     1.6729e-27     0.7492     0.164     0.035
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Thra     3.2293e-29     0.7476     0.291     0.116
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Spg20     1.8996e-33     0.7475     0.225     0.059
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmod1     1.9246e-27     0.7426     0.165     0.035
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sv2a     8.3977e-29     0.7353     0.207     0.056
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmcc2     7.0706e-25     0.7349     0.152     0.033
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     H2afj     5.0676e-29     0.7339     0.295     0.119
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Rnf220     1.1984e-27     0.7319     0.277     0.113
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Taf1     1.3489e-20     0.7289     0.172     0.063
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ank     6.2305e-27     0.7276     0.204     0.059
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Kcna6     2.2801e-26     0.7268     0.17     0.039
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Selenow     4.4094e-49     0.7214     0.55     0.285
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mbnl2     9.1517e-30     0.7198     0.257     0.087
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Vmp1     2.195e-33     0.7133     0.345     0.142
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fam171b     1.0433e-30     0.7132     0.308     0.12
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sbf1     1.2643e-25     0.7119     0.198     0.057
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tspan15     3.0134e-25     0.7114     0.234     0.084
